throughput_token_s,algo,proto,nthreads,min_nchannels,cuda_dev_max_conn,ib_relaxed,sock_threads,gdr_level,logfile
0,Ring,LL,64,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t1_ARing_PLL_T64_C4_M2_R1_S1_G2.out
0,Ring,LL,64,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t2_ARing_PLL_T64_C8_M2_R1_S1_G2.out
0,Ring,LL,64,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t3_ARing_PLL_T64_C16_M2_R1_S1_G2.out
0,Ring,LL,160,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t4_ARing_PLL_T160_C4_M2_R1_S1_G2.out
0,Ring,LL,160,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t5_ARing_PLL_T160_C8_M2_R1_S1_G2.out
0,Ring,LL,160,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t6_ARing_PLL_T160_C16_M2_R1_S1_G2.out
0,Ring,LL,256,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t7_ARing_PLL_T256_C4_M2_R1_S1_G2.out
0,Ring,LL,256,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t8_ARing_PLL_T256_C8_M2_R1_S1_G2.out
0,Ring,LL,256,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t9_ARing_PLL_T256_C16_M2_R1_S1_G2.out
0,Ring,LL128,64,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t10_ARing_PLL128_T64_C4_M2_R1_S1_G2.out
0,Ring,LL128,64,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t11_ARing_PLL128_T64_C8_M2_R1_S1_G2.out
0,Ring,LL128,64,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t12_ARing_PLL128_T64_C16_M2_R1_S1_G2.out
0,Ring,LL128,160,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t13_ARing_PLL128_T160_C4_M2_R1_S1_G2.out
0,Ring,LL128,160,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t14_ARing_PLL128_T160_C8_M2_R1_S1_G2.out
0,Ring,LL128,160,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t15_ARing_PLL128_T160_C16_M2_R1_S1_G2.out
0,Ring,LL128,256,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t16_ARing_PLL128_T256_C4_M2_R1_S1_G2.out
0,Ring,LL128,256,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t17_ARing_PLL128_T256_C8_M2_R1_S1_G2.out
0,Ring,LL128,256,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t18_ARing_PLL128_T256_C16_M2_R1_S1_G2.out
0,Ring,Simple,64,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t19_ARing_PSimple_T64_C4_M2_R1_S1_G2.out
0,Ring,Simple,64,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t20_ARing_PSimple_T64_C8_M2_R1_S1_G2.out
0,Ring,Simple,64,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t21_ARing_PSimple_T64_C16_M2_R1_S1_G2.out
0,Ring,Simple,160,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t22_ARing_PSimple_T160_C4_M2_R1_S1_G2.out
0,Ring,Simple,160,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t23_ARing_PSimple_T160_C8_M2_R1_S1_G2.out
0,Ring,Simple,160,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t24_ARing_PSimple_T160_C16_M2_R1_S1_G2.out
0,Ring,Simple,256,4,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t25_ARing_PSimple_T256_C4_M2_R1_S1_G2.out
0,Ring,Simple,256,8,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t26_ARing_PSimple_T256_C8_M2_R1_S1_G2.out
0,Ring,Simple,256,16,2,1,1,2,/home/apacsc03/net_sweep_506/logs/t27_ARing_PSimple_T256_C16_M2_R1_S1_G2.out
